Schéma;Table;Finalité;Colonne;Type PostgreSQL;Obligatoire;Défaut;Description;Classification;Indexée;Unique;Rétention;Append-only;Partitionnement
enrollment;enrollment_case;Dossier d’enrôlement.;case_number;varchar(60);Oui;;Référence.;Interne;Non;Oui;;Non;
enrollment;enrollment_case;Dossier d’enrôlement.;channel;varchar(30);Oui;;WEB, MOBILE, AGENT, GROUPEMENT.;Interne;Non;Non;;Non;
enrollment;enrollment_case;Dossier d’enrôlement.;status;varchar(30);Oui;'DRAFT';État.;Interne;Oui;Non;;Non;
enrollment;enrollment_case;Dossier d’enrôlement.;submitted_at;timestamptz;Non;;Soumission.;Interne;Non;Non;;Non;
enrollment;enrollment_case;Dossier d’enrôlement.;assigned_to;uuid;Non;;Validateur.;Interne;Oui;Non;;Non;
enrollment;enrollment_review;Contrôles et demandes de complément.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;10 ans à confirmer;Oui;
enrollment;enrollment_review;Contrôles et demandes de complément.;created_at;timestamptz;Oui;now();Horodatage serveur.;Interne;Non;Non;10 ans à confirmer;Oui;
enrollment;enrollment_review;Contrôles et demandes de complément.;created_by;uuid;Non;;Auteur technique ou métier.;Restreint;Oui;Non;10 ans à confirmer;Oui;
enrollment;enrollment_review;Contrôles et demandes de complément.;case_id;uuid;Oui;;Dossier.;Interne;Oui;Non;10 ans à confirmer;Oui;
enrollment;enrollment_review;Contrôles et demandes de complément.;review_type;varchar(40);Oui;;Type de contrôle.;Interne;Non;Non;10 ans à confirmer;Oui;
enrollment;enrollment_review;Contrôles et demandes de complément.;result;varchar(30);Oui;;Résultat.;Interne;Non;Non;10 ans à confirmer;Oui;
enrollment;enrollment_review;Contrôles et demandes de complément.;comment;text;Non;;Observation.;Interne;Non;Non;10 ans à confirmer;Oui;
enrollment;enrollment_decision;Décisions d’enrôlement.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;10 ans à confirmer;Oui;
enrollment;enrollment_decision;Décisions d’enrôlement.;created_at;timestamptz;Oui;now();Horodatage serveur.;Interne;Non;Non;10 ans à confirmer;Oui;
enrollment;enrollment_decision;Décisions d’enrôlement.;created_by;uuid;Non;;Auteur technique ou métier.;Restreint;Oui;Non;10 ans à confirmer;Oui;
enrollment;enrollment_decision;Décisions d’enrôlement.;case_id;uuid;Oui;;Dossier.;Interne;Oui;Non;10 ans à confirmer;Oui;
enrollment;enrollment_decision;Décisions d’enrôlement.;decision;varchar(30);Oui;;APPROVED, REJECTED, RETURNED.;Interne;Non;Non;10 ans à confirmer;Oui;
enrollment;enrollment_decision;Décisions d’enrôlement.;reason_code;varchar(60);Non;;Motif.;Interne;Non;Non;10 ans à confirmer;Oui;
enrollment;enrollment_decision;Décisions d’enrôlement.;comment;text;Non;;Commentaire.;Interne;Non;Non;10 ans à confirmer;Oui;
enrollment;enrollment_decision;Décisions d’enrôlement.;decided_by;uuid;Oui;;Décideur.;Restreint;Non;Non;10 ans à confirmer;Oui;
contribution;fiscal_year;Exercices de cotisation.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
contribution;fiscal_year;Exercices de cotisation.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
contribution;fiscal_year;Exercices de cotisation.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
contribution;fiscal_year;Exercices de cotisation.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
contribution;fiscal_year;Exercices de cotisation.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
contribution;fiscal_year;Exercices de cotisation.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
contribution;fiscal_year;Exercices de cotisation.;year;integer;Oui;;Année.;Interne;Non;Oui;;Non;
contribution;fiscal_year;Exercices de cotisation.;start_date;date;Oui;;Début.;Interne;Non;Non;;Non;
contribution;fiscal_year;Exercices de cotisation.;end_date;date;Oui;;Fin.;Interne;Non;Non;;Non;
contribution;fiscal_year;Exercices de cotisation.;status;varchar(30);Oui;'OPEN';État.;Interne;Non;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;rule_code;varchar(60);Oui;;Code.;Interne;Non;Oui;;Non;
contribution;rate_rule;Barèmes versionnés.;category_code;varchar(50);Oui;;Catégorie.;Interne;Non;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;calculation_method;varchar(40);Oui;;FIXED, PERCENT, TIERED.;Interne;Non;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;parameters;jsonb;Oui;'{}'::jsonb;Paramètres non relationnels contrôlés.;Interne;Non;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;valid_from;date;Oui;;Début.;Interne;Non;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;valid_to;date;Non;;Fin.;Interne;Non;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;status;varchar(30);Oui;'DRAFT';État.;Interne;Non;Non;;Non;
contribution;rate_rule;Barèmes versionnés.;approved_by;uuid;Non;;Second valideur.;Restreint;Non;Non;;Non;
contribution;contribution_call;Appels de cotisation.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
contribution;contribution_call;Appels de cotisation.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
contribution;contribution_call;Appels de cotisation.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
contribution;contribution_call;Appels de cotisation.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
contribution;contribution_call;Appels de cotisation.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
contribution;contribution_call;Appels de cotisation.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
contribution;contribution_call;Appels de cotisation.;membership_id;uuid;Oui;;Adhésion.;Interne;Oui;Non;;Non;
contribution;contribution_call;Appels de cotisation.;fiscal_year_id;uuid;Oui;;Exercice.;Interne;Oui;Non;;Non;
contribution;contribution_call;Appels de cotisation.;call_number;varchar(60);Oui;;Référence.;Interne;Non;Oui;;Non;
contribution;contribution_call;Appels de cotisation.;amount_due;numeric(19,2);Oui;;Montant dû.;Financier;Non;Non;;Non;
contribution;contribution_call;Appels de cotisation.;currency;char(3);Oui;'XOF';Devise.;Interne;Non;Non;;Non;
contribution;contribution_call;Appels de cotisation.;due_date;date;Oui;;Échéance.;Interne;Oui;Non;;Non;
contribution;contribution_call;Appels de cotisation.;status;varchar(30);Oui;'ISSUED';État.;Interne;Oui;Non;;Non;
contribution;contribution_call;Appels de cotisation.;balance_amount;numeric(19,2);Oui;;Solde.;Financier;Non;Non;;Non;
contribution;installment;Échéances d’un appel.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
contribution;installment;Échéances d’un appel.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
contribution;installment;Échéances d’un appel.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
contribution;installment;Échéances d’un appel.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
contribution;installment;Échéances d’un appel.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
contribution;installment;Échéances d’un appel.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
contribution;installment;Échéances d’un appel.;contribution_call_id;uuid;Oui;;Appel.;Interne;Oui;Non;;Non;
contribution;installment;Échéances d’un appel.;installment_no;integer;Oui;;Numéro.;Interne;Non;Non;;Non;
contribution;installment;Échéances d’un appel.;due_date;date;Oui;;Échéance.;Interne;Oui;Non;;Non;
contribution;installment;Échéances d’un appel.;amount_due;numeric(19,2);Oui;;Montant.;Financier;Non;Non;;Non;
contribution;installment;Échéances d’un appel.;amount_paid;numeric(19,2);Oui;0;Payé.;Financier;Non;Non;;Non;
contribution;installment;Échéances d’un appel.;status;varchar(30);Oui;'PENDING';État.;Interne;Oui;Non;;Non;
contribution;adjustment;Ajustements financiers compensatoires.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;10 ans minimum;Oui;
contribution;adjustment;Ajustements financiers compensatoires.;created_at;timestamptz;Oui;now();Horodatage serveur.;Interne;Non;Non;10 ans minimum;Oui;
contribution;adjustment;Ajustements financiers compensatoires.;created_by;uuid;Non;;Auteur technique ou métier.;Restreint;Oui;Non;10 ans minimum;Oui;
contribution;adjustment;Ajustements financiers compensatoires.;contribution_call_id;uuid;Oui;;Appel.;Interne;Oui;Non;10 ans minimum;Oui;
contribution;adjustment;Ajustements financiers compensatoires.;adjustment_number;varchar(60);Oui;;Référence.;Interne;Non;Oui;10 ans minimum;Oui;
contribution;adjustment;Ajustements financiers compensatoires.;adjustment_type;varchar(30);Oui;;CREDIT ou DEBIT.;Interne;Non;Non;10 ans minimum;Oui;
contribution;adjustment;Ajustements financiers compensatoires.;amount;numeric(19,2);Oui;;Montant.;Financier;Non;Non;10 ans minimum;Oui;
contribution;adjustment;Ajustements financiers compensatoires.;reason_code;varchar(60);Oui;;Motif.;Interne;Non;Non;10 ans minimum;Oui;
contribution;adjustment;Ajustements financiers compensatoires.;approved_by;uuid;Non;;Valideur.;Restreint;Non;Non;10 ans minimum;Oui;
payment;payment_reference;Références uniques de paiement validées par le CNPM.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
payment;payment_reference;Références uniques de paiement validées par le CNPM.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
payment;payment_reference;Références uniques de paiement validées par le CNPM.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
payment;payment_reference;Références uniques de paiement validées par le CNPM.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
payment;payment_reference;Références uniques de paiement validées par le CNPM.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
payment;payment_reference;Références uniques de paiement validées par le CNPM.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
payment;payment_reference;Références uniques de paiement validées par le CNPM.;membership_id;uuid;Oui;;Adhésion.;Interne;Oui;Non;;Non;
payment;payment_reference;Références uniques de paiement validées par le CNPM.;reference_value;varchar(100);Oui;;Référence.;Interne;Non;Oui;;Non;
payment;payment_reference;Références uniques de paiement validées par le CNPM.;channel;varchar(30);Oui;;Canal.;Interne;Non;Non;;Non;
payment;payment_reference;Références uniques de paiement validées par le CNPM.;status;varchar(30);Oui;'ACTIVE';État.;Interne;Non;Non;;Non;
payment;payment_reference;Références uniques de paiement validées par le CNPM.;expires_at;timestamptz;Non;;Expiration.;Interne;Non;Non;;Non;
payment;payment_reference;Références uniques de paiement validées par le CNPM.;approved_by;uuid;Non;;Validation CNPM.;Restreint;Non;Non;;Non;
payment;payment_transaction;Transactions financières append-only.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_transaction;Transactions financières append-only.;created_at;timestamptz;Oui;now();Horodatage serveur.;Interne;Non;Non;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_transaction;Transactions financières append-only.;created_by;uuid;Non;;Auteur technique ou métier.;Restreint;Oui;Non;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_transaction;Transactions financières append-only.;payment_reference_id;uuid;Non;;Référence.;Interne;Oui;Non;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_transaction;Transactions financières append-only.;transaction_number;varchar(80);Oui;;Référence CNPM.;Interne;Non;Oui;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_transaction;Transactions financières append-only.;provider_transaction_id;varchar(160);Non;;Référence externe.;Financier;Oui;Non;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_transaction;Transactions financières append-only.;channel;varchar(30);Oui;;MOBILE_MONEY, BANK, CASH.;Interne;Non;Non;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_transaction;Transactions financières append-only.;amount;numeric(19,2);Oui;;Montant.;Financier;Non;Non;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_transaction;Transactions financières append-only.;currency;char(3);Oui;'XOF';Devise.;Interne;Non;Non;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_transaction;Transactions financières append-only.;paid_at;timestamptz;Oui;;Date de paiement.;Interne;Oui;Non;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_transaction;Transactions financières append-only.;status;varchar(30);Oui;'RECEIVED';État.;Interne;Oui;Non;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_transaction;Transactions financières append-only.;idempotency_key;varchar(160);Oui;;Clé anti-doublon.;Interne;Non;Oui;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_transaction;Transactions financières append-only.;raw_payload_hash;char(64);Non;;Empreinte de la preuve.;Restreint;Non;Non;10 ans minimum;Oui;RANGE(paid_at) mensuel à partir du seuil défini
payment;payment_allocation;Affectations paiement-échéance.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;10 ans minimum;Oui;
payment;payment_allocation;Affectations paiement-échéance.;created_at;timestamptz;Oui;now();Horodatage serveur.;Interne;Non;Non;10 ans minimum;Oui;
payment;payment_allocation;Affectations paiement-échéance.;created_by;uuid;Non;;Auteur technique ou métier.;Restreint;Oui;Non;10 ans minimum;Oui;
payment;payment_allocation;Affectations paiement-échéance.;payment_transaction_id;uuid;Oui;;Paiement.;Interne;Oui;Non;10 ans minimum;Oui;
payment;payment_allocation;Affectations paiement-échéance.;installment_id;uuid;Oui;;Échéance.;Interne;Oui;Non;10 ans minimum;Oui;
payment;payment_allocation;Affectations paiement-échéance.;allocated_amount;numeric(19,2);Oui;;Montant affecté.;Financier;Non;Non;10 ans minimum;Oui;
payment;payment_allocation;Affectations paiement-échéance.;allocation_type;varchar(30);Oui;'AUTOMATIC';Mode.;Interne;Non;Non;10 ans minimum;Oui;
payment;provider_event;Événements entrants des prestataires de paiement.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;10 ans minimum;Oui;RANGE(received_at) mensuel
payment;provider_event;Événements entrants des prestataires de paiement.;created_at;timestamptz;Oui;now();Horodatage serveur.;Interne;Non;Non;10 ans minimum;Oui;RANGE(received_at) mensuel
payment;provider_event;Événements entrants des prestataires de paiement.;created_by;uuid;Non;;Auteur technique ou métier.;Restreint;Oui;Non;10 ans minimum;Oui;RANGE(received_at) mensuel
payment;provider_event;Événements entrants des prestataires de paiement.;partner_code;varchar(60);Oui;;Partenaire.;Interne;Oui;Non;10 ans minimum;Oui;RANGE(received_at) mensuel
payment;provider_event;Événements entrants des prestataires de paiement.;external_event_id;varchar(160);Oui;;Identifiant externe.;Interne;Non;Non;10 ans minimum;Oui;RANGE(received_at) mensuel
payment;provider_event;Événements entrants des prestataires de paiement.;event_type;varchar(80);Oui;;Type.;Interne;Non;Non;10 ans minimum;Oui;RANGE(received_at) mensuel
payment;provider_event;Événements entrants des prestataires de paiement.;received_at;timestamptz;Oui;now();Réception.;Interne;Non;Non;10 ans minimum;Oui;RANGE(received_at) mensuel
payment;provider_event;Événements entrants des prestataires de paiement.;signature_valid;boolean;Oui;false;Signature vérifiée.;Interne;Non;Non;10 ans minimum;Oui;RANGE(received_at) mensuel
payment;provider_event;Événements entrants des prestataires de paiement.;payload;jsonb;Oui;'{}'::jsonb;Message reçu.;Secret;Non;Non;10 ans minimum;Oui;RANGE(received_at) mensuel
payment;provider_event;Événements entrants des prestataires de paiement.;processing_status;varchar(30);Oui;'PENDING';État.;Interne;Oui;Non;10 ans minimum;Oui;RANGE(received_at) mensuel
payment;bank_statement;Relevés bancaires importés.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
payment;bank_statement;Relevés bancaires importés.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
payment;bank_statement;Relevés bancaires importés.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
payment;bank_statement;Relevés bancaires importés.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
payment;bank_statement;Relevés bancaires importés.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
payment;bank_statement;Relevés bancaires importés.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
payment;bank_statement;Relevés bancaires importés.;bank_code;varchar(60);Oui;;Banque.;Interne;Non;Non;;Non;
payment;bank_statement;Relevés bancaires importés.;account_ref_masked;varchar(80);Oui;;Compte masqué.;Financier;Non;Non;;Non;
payment;bank_statement;Relevés bancaires importés.;statement_ref;varchar(120);Oui;;Référence.;Interne;Non;Oui;;Non;
payment;bank_statement;Relevés bancaires importés.;period_start;date;Oui;;Début.;Interne;Non;Non;;Non;
payment;bank_statement;Relevés bancaires importés.;period_end;date;Oui;;Fin.;Interne;Non;Non;;Non;
payment;bank_statement;Relevés bancaires importés.;status;varchar(30);Oui;'IMPORTED';État.;Interne;Non;Non;;Non;
payment;bank_statement_line;Lignes de relevé bancaire.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;10 ans minimum;Oui;RANGE(booking_date) annuel
payment;bank_statement_line;Lignes de relevé bancaire.;created_at;timestamptz;Oui;now();Horodatage serveur.;Interne;Non;Non;10 ans minimum;Oui;RANGE(booking_date) annuel
payment;bank_statement_line;Lignes de relevé bancaire.;created_by;uuid;Non;;Auteur technique ou métier.;Restreint;Oui;Non;10 ans minimum;Oui;RANGE(booking_date) annuel
payment;bank_statement_line;Lignes de relevé bancaire.;statement_id;uuid;Oui;;Relevé.;Interne;Oui;Non;10 ans minimum;Oui;RANGE(booking_date) annuel
payment;bank_statement_line;Lignes de relevé bancaire.;line_number;integer;Oui;;Ligne.;Interne;Non;Non;10 ans minimum;Oui;RANGE(booking_date) annuel
payment;bank_statement_line;Lignes de relevé bancaire.;booking_date;date;Oui;;Date.;Interne;Oui;Non;10 ans minimum;Oui;RANGE(booking_date) annuel
payment;bank_statement_line;Lignes de relevé bancaire.;value_date;date;Non;;Valeur.;Interne;Non;Non;10 ans minimum;Oui;RANGE(booking_date) annuel
payment;bank_statement_line;Lignes de relevé bancaire.;amount;numeric(19,2);Oui;;Montant.;Financier;Non;Non;10 ans minimum;Oui;RANGE(booking_date) annuel
payment;bank_statement_line;Lignes de relevé bancaire.;reference_text;text;Non;;Libellé.;Financier;Non;Non;10 ans minimum;Oui;RANGE(booking_date) annuel
payment;bank_statement_line;Lignes de relevé bancaire.;fingerprint;char(64);Oui;;Empreinte anti-doublon.;Interne;Non;Oui;10 ans minimum;Oui;RANGE(booking_date) annuel
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;payment_transaction_id;uuid;Non;;Paiement.;Interne;Oui;Non;;Non;
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;statement_line_id;uuid;Non;;Ligne bancaire.;Interne;Oui;Non;;Non;
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;match_score;numeric(5,2);Non;;Score.;Interne;Non;Non;;Non;
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;status;varchar(30);Oui;'PROPOSED';État.;Interne;Oui;Non;;Non;
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;override_reason;text;Non;;Motif de dérogation.;Restreint;Non;Non;;Non;
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;proposed_by;uuid;Non;;Proposant.;Interne;Non;Non;;Non;
payment;reconciliation_case;Cas de rapprochement automatique ou manuel.;approved_by;uuid;Non;;Valideur.;Interne;Non;Non;;Non;
receipt;receipt;Reçus officiels et versions de correction.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;10 ans minimum;Oui;
receipt;receipt;Reçus officiels et versions de correction.;created_at;timestamptz;Oui;now();Horodatage serveur.;Interne;Non;Non;10 ans minimum;Oui;
receipt;receipt;Reçus officiels et versions de correction.;created_by;uuid;Non;;Auteur technique ou métier.;Restreint;Oui;Non;10 ans minimum;Oui;
receipt;receipt;Reçus officiels et versions de correction.;payment_transaction_id;uuid;Oui;;Paiement.;Interne;Oui;Non;10 ans minimum;Oui;
receipt;receipt;Reçus officiels et versions de correction.;receipt_number;varchar(80);Oui;;Numéro officiel.;Interne;Non;Oui;10 ans minimum;Oui;
receipt;receipt;Reçus officiels et versions de correction.;issued_at;timestamptz;Oui;;Émission.;Interne;Oui;Non;10 ans minimum;Oui;
receipt;receipt;Reçus officiels et versions de correction.;status;varchar(30);Oui;'ISSUED';État.;Interne;Non;Non;10 ans minimum;Oui;
receipt;receipt;Reçus officiels et versions de correction.;document_id;uuid;Oui;;PDF archivé.;Interne;Non;Non;10 ans minimum;Oui;
receipt;receipt;Reçus officiels et versions de correction.;verification_token_hash;char(64);Oui;;Empreinte du jeton QR.;Restreint;Non;Non;10 ans minimum;Oui;
receipt;receipt;Reçus officiels et versions de correction.;supersedes_receipt_id;uuid;Non;;Reçu remplacé.;Interne;Non;Non;10 ans minimum;Oui;
receipt;receipt;Reçus officiels et versions de correction.;issued_by;uuid;Oui;;Émetteur CNPM.;Restreint;Non;Non;10 ans minimum;Oui;
recovery;campaign;Campagnes de recouvrement.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
recovery;campaign;Campagnes de recouvrement.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
recovery;campaign;Campagnes de recouvrement.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
recovery;campaign;Campagnes de recouvrement.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
recovery;campaign;Campagnes de recouvrement.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
recovery;campaign;Campagnes de recouvrement.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
recovery;campaign;Campagnes de recouvrement.;campaign_code;varchar(60);Oui;;Code.;Interne;Non;Oui;;Non;
recovery;campaign;Campagnes de recouvrement.;name;varchar(255);Oui;;Nom.;Interne;Non;Non;;Non;
recovery;campaign;Campagnes de recouvrement.;target_segment;jsonb;Oui;'{}'::jsonb;Segment figé.;Interne;Non;Non;;Non;
recovery;campaign;Campagnes de recouvrement.;start_at;timestamptz;Oui;;Début.;Interne;Non;Non;;Non;
recovery;campaign;Campagnes de recouvrement.;end_at;timestamptz;Non;;Fin.;Interne;Non;Non;;Non;
recovery;campaign;Campagnes de recouvrement.;status;varchar(30);Oui;'DRAFT';État.;Interne;Oui;Non;;Non;
recovery;sequence_template;Scénarios de relance.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
recovery;sequence_template;Scénarios de relance.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
recovery;sequence_template;Scénarios de relance.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
recovery;sequence_template;Scénarios de relance.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
recovery;sequence_template;Scénarios de relance.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
recovery;sequence_template;Scénarios de relance.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
recovery;sequence_template;Scénarios de relance.;code;varchar(60);Oui;;Code.;Interne;Non;Oui;;Non;
recovery;sequence_template;Scénarios de relance.;name;varchar(255);Oui;;Nom.;Interne;Non;Non;;Non;
recovery;sequence_template;Scénarios de relance.;category_code;varchar(50);Non;;Catégorie.;Interne;Non;Non;;Non;
recovery;sequence_template;Scénarios de relance.;active;boolean;Oui;true;Actif.;Interne;Non;Non;;Non;
recovery;sequence_step;Étapes d’un scénario.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
recovery;sequence_step;Étapes d’un scénario.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
recovery;sequence_step;Étapes d’un scénario.;created_by;uuid;Non;;Compte à l’origine de la création.;Restreint;Oui;Non;;Non;
recovery;sequence_step;Étapes d’un scénario.;updated_at;timestamptz;Oui;now();Horodatage de dernière modification.;Interne;Non;Non;;Non;
recovery;sequence_step;Étapes d’un scénario.;updated_by;uuid;Non;;Compte à l’origine de la modification.;Restreint;Oui;Non;;Non;
recovery;sequence_step;Étapes d’un scénario.;version;bigint;Oui;0;Version de verrouillage optimiste.;Interne;Non;Non;;Non;
recovery;sequence_step;Étapes d’un scénario.;template_id;uuid;Oui;;Scénario.;Interne;Oui;Non;;Non;
recovery;sequence_step;Étapes d’un scénario.;step_no;integer;Oui;;Ordre.;Interne;Non;Non;;Non;
recovery;sequence_step;Étapes d’un scénario.;delay_days;integer;Oui;;Délai.;Interne;Non;Non;;Non;
recovery;sequence_step;Étapes d’un scénario.;channel;varchar(20);Oui;;Canal.;Interne;Non;Non;;Non;
recovery;sequence_step;Étapes d’un scénario.;template_code;varchar(80);Oui;;Modèle.;Interne;Non;Non;;Non;
recovery;recovery_case;Dossier de recouvrement par adhésion/exercice.;id;uuid;Oui;gen_random_uuid();Identifiant technique immuable.;Interne;Non;Non;;Non;
recovery;recovery_case;Dossier de recouvrement par adhésion/exercice.;created_at;timestamptz;Oui;now();Horodatage de création.;Interne;Non;Non;;Non;
